N	O	Ar	He	H	C	totall
0.004449235	0.826426069	1.85564E-08	0.166081311	0.003043366	0	7.73972E-14
0.004154269	0.818257811	1.63452E-08	0.174345679	0.003242225	0	7.22947E-14
0.003876732	0.809745349	1.43871E-08	0.182926593	0.003451312	0	6.75805E-14
0.003616892	0.800907442	1.26704E-08	0.191803779	0.003671874	0	6.3205E-14
0.0033731	0.791721828	1.11518E-08	0.200999494	0.003905567	0	5.91374E-14
0.003143425	0.782261011	9.80399E-09	0.210446267	0.004149288	0	5.53932E-14
0.00292776	0.7724321	8.61853E-09	0.220235044	0.004405087	0	5.1922E-14
0.002726036	0.762268346	7.57369E-09	0.230331497	0.004674113	0	4.86939E-14
0.00253678	0.751826325	6.65265E-09	0.240681249	0.004955639	0	4.57002E-14
0.002359475	0.740927954	5.84217E-09	0.251460015	0.005252551	0	4.29109E-14
0.002194038	0.729786888	5.1277E-09	0.262457087	0.005561982	0	4.03278E-14
0.002038558	0.718439385	4.49727E-09	0.27363831	0.005883742	0	3.79371E-14
0.00189231	0.706669037	3.94348E-09	0.285218137	0.006220512	0	3.57115E-14
0.001755963	0.694665641	3.45558E-09	0.297007574	0.006570818	0	3.36445E-14
0.001629105	0.682382582	3.02605E-09	0.309052671	0.006935638	0	3.17204E-14
0.001509483	0.669866776	2.64919E-09	0.321309373	0.007314366	0	2.99312E-14
0.001397879	0.657117333	2.31802E-09	0.333776679	0.007708106	0	2.82655E-14
0.001294052	0.644137415	2.02662E-09	0.346451484	0.008117047	0	2.67139E-14
0.001196958	0.63100269	1.77117E-09	0.359260432	0.008539919	0	2.52696E-14
0.001106269	0.617571557	1.54671E-09	0.372346747	0.008975425	0	2.39275E-14
0.001021949	0.603957725	1.34996E-09	0.385594266	0.009426059	0	2.26756E-14
0.00094355	0.590279157	1.1777E-09	0.398884452	0.00989284	0	2.15025E-14
0.000870498	0.576505769	1.02673E-09	0.412251173	0.010372558	0	2.04093E-14
0.000802524	0.56250287	8.94593E-10	0.425829861	0.010864744	0	1.93926E-14
0.000739158	0.548411906	7.78662E-10	0.439479738	0.011369198	0	1.84435E-14
0.000680515	0.534365608	6.77706E-10	0.453063218	0.011890658	0	1.75519E-14
0.000626088	0.520250227	5.89451E-10	0.46669969	0.012423993	0	1.67189E-14
0.000575504	0.506128521	5.12202E-10	0.480327069	0.012968905	0	1.59401E-14
0.000528794	0.491932965	4.45008E-10	0.494009862	0.013528378	0	1.52093E-14
0.000485596	0.477777427	3.8629E-10	0.507639139	0.014097838	0	1.45261E-14
0.000445324	0.46372856	3.35095E-10	0.521150369	0.014675746	0	1.38877E-14
0.000408264	0.449644266	2.90498E-10	0.534681844	0.015265625	0	1.32888E-14
0.000374171	0.43581547	2.5173E-10	0.54794153	0.01586883	0	1.27235E-14
0.00034244	0.422087091	2.17988E-10	0.5610917	0.016478769	0	1.21945E-14
0.00031337	0.408369674	1.88683E-10	0.574216021	0.017100934	0	1.16962E-14
0.000286555	0.39490906	1.63209E-10	0.587073809	0.017730576	0	1.1228E-14
0.00026183	0.381601323	1.41077E-10	0.599770691	0.018366155	0	1.07883E-14
0.0002391	0.368452817	1.21884E-10	0.612295883	0.019012199	0	1.03733E-14
0.000218229	0.355498986	1.05262E-10	0.624615285	0.0196675	0	9.98193E-15
0.000199064	0.342770091	9.08634E-11	0.636704271	0.020326574	0	9.61284E-15
0.000181477	0.3302854	7.83935E-11	0.648542368	0.020990755	0	9.26475E-15
0.000165335	0.31807604	6.75936E-11	0.660096663	0.021661962	0	8.93595E-15
0.000150529	0.306144728	5.82598E-11	0.67136448	0.022340262	0	8.62501E-15
0.000136991	0.29449344	5.01862E-11	0.68234836	0.023021208	0	8.33138E-15
0.000124631	0.283080956	4.32158E-11	0.69308715	0.023707262	0	8.0527E-15
